web-scraper-order,web-scraper-start-url,judul,rating,tahun,durasi,link,link-href,umur
1718339113-190,https://www.imdb.com/chart/top/?ref_=nv_mv_250,190. Hacksaw Ridge,,2016,2h 19m,190. Hacksaw Ridge,https://www.imdb.com/title/tt2119532/?ref_=chttp_t_190,R
1718339113-191,https://www.imdb.com/chart/top/?ref_=nv_mv_250,191. The Gold Rush,,1925,1h 35m,191. The Gold Rush,https://www.imdb.com/title/tt0015864/?ref_=chttp_t_191,Not Rated
1718339113-192,https://www.imdb.com/chart/top/?ref_=nv_mv_250,192. Dead Poets Society,,1989,2h 8m,192. Dead Poets Society,https://www.imdb.com/title/tt0097165/?ref_=chttp_t_192,R
1718339113-193,https://www.imdb.com/chart/top/?ref_=nv_mv_250,193. In the Name of the Father,,1993,2h 13m,193. In the Name of the Father,https://www.imdb.com/title/tt0107207/?ref_=chttp_t_193,R
1718339113-194,https://www.imdb.com/chart/top/?ref_=nv_mv_250,194. Memories of Murder,,2003,2h 12m,194. Memories of Murder,https://www.imdb.com/title/tt0353969/?ref_=chttp_t_194,G
1718339113-195,https://www.imdb.com/chart/top/?ref_=nv_mv_250,195. Wild Tales,,2014,2h 2m,195. Wild Tales,https://www.imdb.com/title/tt3011894/?ref_=chttp_t_195,Passed
1718339113-196,https://www.imdb.com/chart/top/?ref_=nv_mv_250,196. The Deer Hunter,,1978,3h 3m,196. The Deer Hunter,https://www.imdb.com/title/tt0077416/?ref_=chttp_t_196,Approved
1718339113-197,https://www.imdb.com/chart/top/?ref_=nv_mv_250,"197. Monsters, Inc.",,2001,1h 32m,"197. Monsters, Inc.",https://www.imdb.com/title/tt0198781/?ref_=chttp_t_197,Passed
1718339113-198,https://www.imdb.com/chart/top/?ref_=nv_mv_250,198. The General,,1926,1h 18m,198. The General,https://www.imdb.com/title/tt0017925/?ref_=chttp_t_198,PG
1718339113-199,https://www.imdb.com/chart/top/?ref_=nv_mv_250,199. On the Waterfront,,1954,1h 48m,199. On the Waterfront,https://www.imdb.com/title/tt0047296/?ref_=chttp_t_199,PG
